,Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
0,2013-01-02,2013-01-16,16.8,16.8,15.5,15.6,0.0,0.0,97535,3632,120663
1,2013-01-03,2013-01-16,15.75,16.0,15.3,15.9,0.0,0.0,59683,3630,118689
2,2013-01-04,2013-01-16,15.85,15.88,15.05,15.3,0.0,0.0,52977,2996,118634
3,2013-01-07,2013-01-16,15.4,15.5,14.7,14.75,0.0,0.0,38978,1069,116181
4,2013-01-08,2013-01-16,14.85,15.15,14.5,14.65,0.0,0.0,43700,970,113215
5,2013-01-09,2013-01-16,14.65,14.95,14.35,14.7,0.0,0.0,38019,583,106641
6,2013-01-10,2013-01-16,14.55,14.75,14.15,14.2,0.0,0.0,35863,452,98057
7,2013-01-11,2013-01-16,14.25,14.6,14.1,14.14,0.0,0.0,38360,207,84438
8,2013-01-14,2013-01-16,14.3,14.35,13.93,14.09,0.0,0.0,40234,452,74165
9,2013-01-15,2013-01-16,14.25,14.4,13.9,14.2,0.0,0.0,43022,74,57219
10,2013-01-16,2013-01-16,0.0,14.25,14.4,0.0,0.0,0.0,0,0,50051
0,2013-01-02,2013-02-13,17.5,17.75,16.65,16.72,0.0,0.0,62489,2946,69517
1,2013-01-03,2013-02-13,16.9,17.05,16.5,16.92,0.0,0.0,49813,3570,80088
2,2013-01-04,2013-02-13,16.9,17.0,16.5,16.67,0.0,0.0,45535,3445,87659
3,2013-01-07,2013-02-13,16.75,16.95,16.4,16.42,0.0,0.0,44367,1752,97299
4,2013-01-08,2013-02-13,16.55,16.95,16.4,16.43,0.0,0.0,56157,1940,115920
5,2013-01-09,2013-02-13,16.45,16.7,16.2,16.37,0.0,0.0,46965,1682,130523
6,2013-01-10,2013-02-13,16.3,16.5,16.05,16.08,0.0,0.0,46334,1712,144218
7,2013-01-11,2013-02-13,16.15,16.4,15.95,15.98,0.0,0.0,43595,1036,159755
8,2013-01-14,2013-02-13,16.15,16.25,15.75,15.94,0.0,0.0,52448,3623,175547
9,2013-01-15,2013-02-13,16.1,16.2,15.7,15.76,0.0,0.0,45652,1264,188450
10,2013-01-16,2013-02-13,16.0,16.0,15.35,15.5,0.0,0.0,56606,5439,196184
11,2013-01-17,2013-02-13,15.45,15.7,15.15,15.69,0.0,0.0,42375,636,190685
12,2013-01-18,2013-02-13,15.6,15.67,14.5,14.65,0.0,0.0,68732,4626,191809
13,2013-01-22,2013-02-13,14.6,14.9,14.0,14.05,0.0,0.0,55714,2071,186849
14,2013-01-23,2013-02-13,14.05,14.3,13.65,13.69,0.0,0.0,56134,3716,182858
15,2013-01-24,2013-02-13,13.9,14.85,13.7,13.94,0.0,0.0,81673,1431,170558
16,2013-01-25,2013-02-13,13.75,14.35,13.73,14.09,0.0,0.0,45887,539,161989
17,2013-01-28,2013-02-13,14.0,14.75,13.95,14.59,0.0,0.0,41349,498,153599
18,2013-01-29,2013-02-13,14.7,14.85,13.9,14.04,0.0,0.0,47643,641,150108
19,2013-01-30,2013-02-13,14.15,15.25,14.15,15.15,0.0,0.0,70282,490,137623
20,2013-01-31,2013-02-13,15.15,15.45,14.8,14.9,0.0,0.0,47066,9,130047
21,2013-02-01,2013-02-13,14.75,14.8,13.8,14.29,0.0,0.0,66471,3366,126159
22,2013-02-04,2013-02-13,14.45,15.35,14.35,15.29,0.0,0.0,57247,0,116486
23,2013-02-05,2013-02-13,14.9,15.0,14.1,14.39,0.0,0.0,47098,793,109877
24,2013-02-06,2013-02-13,14.45,14.9,14.1,14.15,0.0,0.0,45643,687,103400
25,2013-02-07,2013-02-13,14.15,15.05,13.95,14.09,0.0,0.0,59610,18,92841
26,2013-02-08,2013-02-13,14.2,14.25,13.65,13.8,0.0,0.0,49431,1172,81753
27,2013-02-11,2013-02-13,13.7,13.85,13.45,13.5,0.0,0.0,38664,331,65052
28,2013-02-12,2013-02-13,13.45,13.55,12.95,13.0,0.0,0.0,49935,242,44750
29,2013-02-13,2013-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,41873
0,2013-01-02,2013-03-20,18.8,18.85,17.95,18.06,0.0,0.0,25310,0,45750
1,2013-01-03,2013-03-20,18.25,18.25,17.7,18.12,0.0,0.0,16775,0,47770
2,2013-01-04,2013-03-20,18.1,18.18,17.73,18.02,0.0,0.0,15470,0,51194
3,2013-01-07,2013-03-20,18.08,18.25,17.9,17.95,0.0,0.0,14145,0,53817
4,2013-01-08,2013-03-20,18.03,18.4,17.85,17.87,0.0,0.0,23874,0,59966
5,2013-01-09,2013-03-20,17.95,18.18,17.65,17.94,0.0,0.0,17663,0,64197
6,2013-01-10,2013-03-20,17.85,17.95,17.6,17.74,0.0,0.0,16477,0,68079
7,2013-01-11,2013-03-20,17.72,18.0,17.6,17.64,0.0,0.0,16521,0,71138
8,2013-01-14,2013-03-20,17.77,17.8,17.25,17.33,0.0,0.0,17305,0,73010
9,2013-01-15,2013-03-20,17.55,17.6,17.13,17.24,0.0,0.0,13618,0,73944
10,2013-01-16,2013-03-20,17.45,17.5,16.85,17.07,0.0,0.0,21562,96,78428
11,2013-01-17,2013-03-20,16.8,17.15,16.7,16.98,0.0,0.0,27856,0,80088
12,2013-01-18,2013-03-20,17.03,17.05,16.15,16.28,0.0,0.0,41679,581,84653
13,2013-01-22,2013-03-20,16.35,16.4,15.35,15.37,0.0,0.0,41049,299,84566
14,2013-01-23,2013-03-20,15.45,15.5,14.95,15.03,0.0,0.0,39667,270,85661
15,2013-01-24,2013-03-20,15.25,15.75,14.9,15.08,0.0,0.0,52813,510,90363
16,2013-01-25,2013-03-20,14.95,15.35,14.88,15.13,0.0,0.0,35993,249,95814
17,2013-01-28,2013-03-20,15.1,15.53,14.98,15.32,0.0,0.0,31788,290,102995
18,2013-01-29,2013-03-20,15.45,15.7,14.8,14.92,0.0,0.0,40873,466,109990
19,2013-01-30,2013-03-20,14.95,15.85,14.95,15.76,0.0,0.0,52864,441,112735
20,2013-01-31,2013-03-20,15.8,16.07,15.4,15.71,0.0,0.0,34455,12,115973
21,2013-02-01,2013-03-20,15.61,15.65,14.95,15.38,0.0,0.0,63274,4943,130799
22,2013-02-04,2013-03-20,15.35,16.1,15.35,15.86,0.0,0.0,50143,1870,137918
23,2013-02-05,2013-03-20,15.6,15.8,15.2,15.57,0.0,0.0,43676,1718,139343
24,2013-02-06,2013-03-20,15.6,15.92,15.3,15.33,0.0,0.0,41016,1978,144638
25,2013-02-07,2013-03-20,15.35,15.98,15.15,15.31,0.0,0.0,61841,66,152093
26,2013-02-08,2013-03-20,15.35,15.46,15.0,15.01,0.0,0.0,52108,6348,168187
27,2013-02-11,2013-03-20,15.05,15.2,14.8,14.93,0.0,0.0,49634,2408,180804
28,2013-02-12,2013-03-20,14.95,15.0,14.6,14.78,0.0,0.0,64442,4363,203499
29,2013-02-13,2013-03-20,14.65,15.1,14.59,14.75,0.0,0.0,56061,4559,203230
30,2013-02-14,2013-03-20,14.9,15.05,14.5,14.55,0.0,0.0,46644,3291,206290
31,2013-02-15,2013-03-20,14.65,14.85,14.4,14.5,0.0,0.0,53303,3568,208352
32,2013-02-19,2013-03-20,14.35,14.45,13.8,13.89,0.0,0.0,73118,4510,209152
33,2013-02-20,2013-03-20,13.95,15.4,13.8,15.39,0.0,0.0,86073,0,200474
34,2013-02-21,2013-03-20,15.35,16.05,15.05,15.5,0.0,0.0,94946,569,192522
35,2013-02-22,2013-03-20,15.15,15.4,14.8,14.84,0.0,0.0,51095,279,186987
36,2013-02-25,2013-03-20,14.55,17.7,14.1,17.65,0.0,0.0,145449,0,189144
37,2013-02-26,2013-03-20,17.0,18.05,16.4,17.06,0.0,0.0,135683,6386,172005
38,2013-02-27,2013-03-20,16.8,17.05,15.1,15.43,0.0,0.0,94965,1134,164266
39,2013-02-28,2013-03-20,15.3,16.2,15.08,16.14,0.0,0.0,66885,1540,157816
40,2013-03-01,2013-03-20,16.6,17.25,15.9,16.39,0.0,0.0,80477,0,152535
41,2013-03-04,2013-03-20,16.25,16.5,14.95,14.99,0.0,0.0,69838,0,148902
42,2013-03-05,2013-03-20,14.85,14.9,14.45,14.54,0.0,0.0,60395,4889,150730
43,2013-03-06,2013-03-20,14.35,14.98,14.2,14.7,0.0,0.0,48002,2513,143479
